New project list: Table 1
Project_Number,Description,City,Client,Address,Client Contact,Archive?,Phase Type
3140 St Bruno QC,,,,
3198 Rimouski QC,,,,
3739 Victoriaville QC,,,,
5795 Alma QC,,,,
5832 Thetford Mines QC,,,,
5839 Cowansville QC,,,,
1003 Bridgewater NS,,,,
1014 Antigonish NS,,,,
1016 Yarmouth NS,,,,
3021 Dartmouth NS,,,,
3061 New Glasgow NS,,,,
3081 Bedford (Sackville) NS,,,,
3100 Sydney River NS,,,,
3101 Sydney NS,,,,
3138 Halifax (W) NS,,,,
3184 Truro NS,,,,
3636 Halifax (C) NS,,,,
3738 New Minas NS,,,,
5789 Amherst NS,,,,
1013 Grand Falls   NB,,,,
1033 Edmundston NB,,,,
1043 Woodstock NB,,,,
1067 Fredericton (N) NB,,,,
3003 Bathurst NB,,,,
3091 Saint John NB,,,,
3659 Moncton (W) NB,,,,
5833 Miramichi NB,,,,
3185 Corner Brook NF,,,,
3162 Charlottetown PEI,,,,
3073 Prince Albert SK,,,,
3099 Swift Current SK,,,,
3191 Whitehorse YT,,,,

20497: Table 1
OPA / ZBA 1st Submission,,,,
OPA / ZBA 2nd Submission,,,,
OPA / ZBA 3rd Submission,,,,
SPA 1st Submission,,,,
SPA 2nd Submission,,,,
SPA 3rd Submission,,,,


20489: Table 1
100 SPA PM,,,,
110 SPA Grading,,,,
120 SPA Sanitary and Water,,,,
130 SPA STM AND SWM,,,,
200 Earthworks,,,,
500 Extra Work,,,,
